code14,name14,prov14,unit,name_carto,code24,code24_commune,name24,label04,idh04,src04
01.151.09.01.,Amtar,Chefchaouen,01.151.09.01.,Amtar,11510901,11510901,Commune d'Amtar,Chefchaouen Amtar,0.47,direct
01.151.09.09.,Bni Rzine,Chefchaouen,01.151.09.09.,Bni Rzine,11510909,11510909,Commune de Bni Rzine,Chefchaouen Bni Rzine,0.53,direct
01.151.09.11.,Bni Smih,Chefchaouen,01.151.09.11.,Bni Smih,11510911,11510911,Commune de Bni Smih,Chefchaouen Bni Smih,0.488,direct
01.151.09.17.,M'tioua,Chefchaouen,01.151.09.17.,M'tioua,11510917,11510917,Commune de M'tioua,Chefchaouen M'tioua,0.432,direct
01.151.09.19.,Ouaouzgane,Chefchaouen,01.151.09.19.,Ouaouzgane,11510919,11510919,Commune d'Ouaouzgane,Chefchaouen Ouaouzgane,0.491,direct
01.227.03.05.,Anjra,Fahs-Anjra,01.227.03.05.,Anjra,12270305,12270305,Commune d'Anjra,Fahs-Anjra Anjra,0.561,direct
01.227.03.11.,Jouamaa,Fahs-Anjra,01.227.03.11.,Jouamaa,12270311,12270311,Commune de Jouamaa,Fahs-Anjra Jouamaa,0.544,direct
01.227.03.13.,Ksar El Majaz,Fahs-Anjra,01.227.03.13.,Ksar El Majaz,12270313,12270313,Commune de Ksar El Majaz,Fahs-Anjra Ksar El Majaz,0.495,direct
01.227.03.21.,Taghramt,Fahs-Anjra,01.227.03.21.,Taghramt,12270321,12270321,Commune de Taghramt,Fahs-Anjra Taghramt,0.595,direct
01.227.05.01.,Al Bahraoyine,Fahs-Anjra,01.227.05.01.,Al Bahraoyine,12270501,12270501,Commune d'Al Bahraoyine,Fahs-Anjra Al Bahraoyine,0.523,direct
01.227.05.05.,Ksar Sghir,Fahs-Anjra,01.227.05.05.,Ksar Sghir,12270505,12270505,Commune de Ksar Sghir,Fahs-Anjra Ksar Sghir,0.545,direct
01.227.05.09.,Malloussa,Fahs-Anjra,01.227.05.09.,Malloussa,12270509,12270509,Commune de Malloussa,Fahs-Anjra Malloussa,0.492,direct
01.331.01.01.,Ksar El Kebir (Mun.),Larache,01.331.01.01.,Ksar El Kebir (M),13310101,13310101,Commune de Ksar El Kebir,Larache Ksar El Kebir (M),0.684,direct
01.331.01.03.,Larache (Mun.),Larache,01.331.01.03.,Larache (M),13310103,13310103,Commune de Larache,Larache Larache (M),0.685,direct
01.331.07.01.,Bou Jedyane,Larache,01.331.07.01.,Boujedyane,13310701,13310701,Commune de Boujedyane,Larache Bou Jedyane,0.531,direct
01.331.07.03.,Ksar Bjir,Larache,01.331.07.03.,Ksar Bjir,13310703,13310703,Commune de Ksar Bjir,Larache Ksar Bjir,0.524,direct
01.331.07.05.,Laouamra,Larache,01.331.07.05.,Laouamra,13310705,13310705,Commune de Laouamra,Larache Laouamra,0.522,direct
01.331.07.11.,Souk L'Qolla,Larache,01.331.07.11.,Souk L'Qolla,13310711,13310711,Commune de Souk L'qolla,Larache Souk L'Qolla,0.514,direct
01.331.07.15.,Tatoft,Larache,01.331.07.15.,Tatoft,13310715,13310715,Commune de Tatoft,Larache Tatoft,0.473,direct
01.331.07.17.,Zouada,Larache,01.331.07.17.,Zouada,13310717,13310717,Commune de Zouada,Larache Zouada,0.524,direct
01.331.09.01.,Ayacha,Larache,01.331.09.01.,Ayacha,13310901,13310901,Commune d'Ayacha,Larache Ayacha,0.536,direct
01.331.09.03.,Bni Arouss,Larache,01.331.09.03.,Bni Arouss,13310903,13310903,Commune de Bni Arouss,Larache Bni Arouss,0.548,direct
01.331.09.05.,Bni Garfett,Larache,01.331.09.05.,Bni Garfett,13310905,13310905,Commune de Bni Garfett,Larache Bni Garfett,0.535,direct
01.331.09.13.,Tazroute,Larache,01.331.09.13.,Tazroute,13310913,13310913,Commune de Tazroute,Larache Tazroute,0.508,direct
01.331.09.15.,Zaaroura,Larache,01.331.09.15.,Zaaroura,13310915,13310915,Commune de Zaaroura,Larache Zaaroura,0.519,direct
01.331.11.03.,Oulad Ouchih,Larache,01.331.11.03.,Oulad Ouchih,13311103,13311103,Commune d'Oulad Ouchih,Larache Oulad Ouchih,0.573,direct
01.331.11.07.,Rissana Chamalia,Larache,01.331.11.07.,Rissana Chamalia,13311107,13311107,Commune de Rissana Chamalia,Larache Rissana Chamalia,0.54,direct
01.331.11.09.,Rissana Janoubia,Larache,01.331.11.09.,Rissana Janoubia,13311109,13311109,Commune de Rissana Janoubia,Larache Rissana Janoubia,0.457,direct
01.331.11.11.,Sahel,Larache,01.331.11.11.,Sahel,13311111,13311111,Commune de Sahel,Larache Sahel,0.505,direct
01.331.11.12.,Souaken,Larache,01.331.11.12.,Souaken,13311112,13311112,Commune de Souaken,Larache Souaken,0.475,direct
01.331.11.13.,Souk Tolba,Larache,01.331.11.13.,Souk Tolba,13311113,13311113,Commune de Souk Tolba,Larache Souk Tolba,0.501,direct
01.405.01.09.,Ouezzane (Mun.),Ouezzane,01.405.01.09.,Ouezzane (M),14050109,14050109,Commune d'Ouezzane,Sidi Kacem Ouezzane (M),0.661,direct
01.405.07.01.,Bni Quolla,Ouezzane,01.405.07.01.,Bni Quolla,14050701,14050701,Commune de Bni Quolla,Sidi Kacem Bni Quolla,0.539,direct
01.405.07.03.,Lamjaara,Ouezzane,01.405.07.03.,Lamjaara,14051303,14051303,Commune de Lamjaara,Sidi Kacem Lamjaara,0.55,direct
01.405.07.05.,Masmouda,Ouezzane,01.405.07.05.,Masmouda,14050705,14050705,Commune de Masmouda,Sidi Kacem Masmouda,0.544,direct
01.405.07.07.,Mzefroune,Ouezzane,01.405.07.07.,Mzefroune,14050707,14050707,Commune de Mzefroune,Sidi Kacem Mzefroune,0.501,direct
01.405.07.09.,Ounnana,Ouezzane,01.405.07.09.,,14051309,14051309,Commune d'Ouannana,Sidi Kacem Ounnana,0.5,direct
01.405.07.11.,Sidi Ahmed Cherif,Ouezzane,01.405.07.11.,Sidi Ahmed Cherif,14051311,14051311,Commune de Sidi Ahmed Cherif,Sidi Kacem Sidi Ahmed Cherif,0.488,direct
01.405.07.13.,Sidi Bousber,Ouezzane,01.405.07.13.,Sidi Bousber,14051313,14051313,Commune de Sidi Bousber,Sidi Kacem Sidi Bousber,0.62,direct
01.405.07.15.,Sidi Redouane,Ouezzane,01.405.07.15.,Sidi Redouane,14050715,14050715,Commune de Sidi Redouane,Sidi Kacem Sidi Redouane,0.552,direct
01.405.07.17.,Teroual,Ouezzane,01.405.07.17.,Teroual,14051317,14051317,Commune de Teroual,Sidi Kacem Teroual,0.564,direct
01.405.07.19.,Zghira,Ouezzane,01.405.07.19.,Zghira,14051319,14051319,Commune de Zghira,Sidi Kacem Zghira,0.517,direct
01.405.09.01.,Ain Beida,Ouezzane,01.405.09.01.,Ain Beida,14050901,14050901,Commune d'Ain Beida,Chefchaouen Ain Beida,0.568,direct
01.405.09.03.,Asjen,Ouezzane,01.405.09.03.,Asjen,14050903,14050903,Commune d'Asjen,Chefchaouen Asjen,0.511,direct
01.405.09.05.,Brikcha,Ouezzane,01.405.09.05.,Brikcha,14050905,14050905,Commune de Brikcha,Chefchaouen Brikcha,0.533,direct
01.405.09.09.,Moqrisset,Ouezzane,01.405.09.09.,,14050909,14050909,Commune de Moqrissat,Chefchaouen Moqrisset,0.581,direct
01.405.11.07.,Kalaat Bouqorra,Ouezzane,01.405.11.07.,Kalaat Bouqorra,14051107,14051107,Commune de Kalaat Bouqorra,Chefchaouen Kalaat Bouqorra,0.551,direct
01.405.11.11.,Zoumi,Ouezzane,01.405.11.11.,Zoumi,14051111,14051111,Commune de Zoumi,Chefchaouen Zoumi,0.563,direct
01.511.01.01.,Assilah (Mun.),Tanger-Assilah,01.511.01.01.,Assilah (M),15110101,15110101,Commune d'Assilah,Tanger-Assilah Assilah (M),0.702,direct
01.511.01.03.,Bni Makada (Arrond.),Tanger-Assilah,01.511.01.,,15110103,1511010,Arrondissement de Bni Makada,Tanger-Assilah Bni Makada (AR),0.656,fuzzy
01.511.01.05.,Charf-Mghogha (Arrond.),Tanger-Assilah,01.511.01.,,15110105,1511010,Arrondissement de Mghogha,Tanger-Assilah Charf-Mghogha (AR),0.709,fuzzy
01.511.01.06.,Charf-Souani (Arrond.),Tanger-Assilah,01.511.01.,,15110106,1511010,Arrondissement de Souani,Tanger-Assilah Charf-Souani (AR),0.745,fuzzy
01.511.01.07.,Tanger-Médina (Arrond.),Tanger-Assilah,01.511.01.,,15110107,1511010,Arrondissement de Médina,Tanger-Assilah Tanger-Médina (AR),0.74,fuzzy
01.511.01.09.,Gueznaia (Mun.),Tanger-Assilah,01.511.01.09.,Gueznaia (M),15110109,15110109,Commune de Gueznaia,Tanger – Assilah Gueznaia (AC),0.712,direct
01.511.03.01.,Al Manzla,Tanger-Assilah,01.511.03.01.,Al Manzla,15110501,15110501,Commune d'Al Manzla,Tanger-Assilah Al Manzla,0.508,direct
01.511.03.03.,Aquouass Briech,Tanger-Assilah,01.511.03.03.,Aquouass Briech,15110303,15110303,Commune d'Aquouass Briech,Tanger-Assilah Aquouass Briech,0.587,direct
01.511.03.05.,Sebt Azzinate,Tanger-Assilah,01.511.03.05.,Sebt  Azzinate,15110505,15110505,Commune de Sebt Azzinate,Tanger-Assilah Azzinate,0.537,fuzzy
01.511.03.07.,Dar Chaoui,Tanger-Assilah,01.511.03.07.,Dar Chaoui,15110507,15110507,Commune de Dar Chaoui,Tanger-Assilah Dar Chaoui,0.509,direct
01.511.03.11.,Sahel Chamali,Tanger-Assilah,01.511.03.11.,Sahel Chamali,15110311,15110311,Commune de Sahel Chamali,Tanger-Assilah Sahel Chamali,0.483,direct
01.511.03.13.,Sidi Lyamani,Tanger-Assilah,01.511.03.13.,Sidi Lyamani,15110313,15110313,Commune de Sidi Lyamani,Tanger-Assilah Sidi Lyamani,0.55,direct
01.511.03.15.,Had Al Gharbia,Tanger-Assilah,01.511.03.15.,Had Al Gharbia,15110315,15110315,Commune de Had Al Gharbia,,,
01.511.03.17.,Laaouama,Tanger-Assilah,01.511.03.17.,Laaouama,15110517,15110517,Commune de Laaouama,Fahs-Anjra Laaouama,0.621,direct
01.511.81.05.,HJAR ENNHAL,Tanger-Assilah,01.511.81.05.,Hjar Ennhal,15110519,15110519,Commune de Hjar Ennhal,,,
01.571.01.07.,Oued Laou (Mun.),Tétouan,01.571.01.07.,Oued Laou (M),15710107,15710107,Commune d'Oued Laou,Tetouan Oued Laou (M),0.629,direct
01.571.01.11.,Tétouan (Mun.),Tétouan,01.571.01.11.,Tétouan (M),15710111,15710111,Commune de Tétouan,Tetouan Tétouan (M),0.693,direct
01.571.03.01.,Ain Lahsan,Tétouan,01.571.03.01.,Ain Lahsan,15710301,15710301,Commune d'Ain Lahsan,Tetouan Ain Lahsan,0.526,direct
01.571.03.03.,AL Kharroub,Tétouan,01.571.03.03.,Al Kharroub,15710303,15710303,Commune d'Al Kharroub,Tetouan AL Khrroub,0.512,fuzzy
01.571.03.05.,Bghaghza,Tétouan,01.571.03.05.,Bghaghza,15710305,15710305,Commune de Bghaghza,Tetouan Bghaghza,0.457,direct
01.571.03.07.,Bni Harchen,Tétouan,01.571.03.07.,Bni Harchen,15710307,15710307,Commune de Bni Harchen,Tetouan Bni Harchen,0.445,direct
01.571.03.09.,Jbel Lahbib,Tétouan,01.571.03.09.,Jbel Lahbib,15710309,15710309,Commune de Jbel Lahbib,Tetouan Jbel Lahbib,0.55,direct
01.571.03.11.,Bni Idder,Tétouan,01.571.03.11.,Bni Idder,15710311,15710311,Commune de Bni Idder,Tetouan Bni Idder,0.438,direct
01.571.03.15.,Mallalienne,Tétouan,01.571.03.15.,Mallalienne,15710315,15710315,Commune de Mallalienne,Tetouan Mallalienne,0.591,direct
01.571.03.17.,Saddina,Tétouan,01.571.03.17.,Saddina,15710317,15710317,Commune de Saddina,Tetouan Saddina,0.574,direct
01.571.03.19.,Souk Kdim,Tétouan,01.571.03.19.,Souk Kdim,15710319,15710319,Commune de Souk Kdim,Tetouan Souk Kdim,0.548,direct
01.571.03.21.,Sahtryine,Tétouan,01.571.03.21.,Sahtryine,15710321,15710321,Commune de Sahtryine,Tetouan Sahtryine,0.433,direct
01.571.05.01.,Al Hamra,Tétouan,01.571.05.01.,Al Hamra,15710501,15710501,Commune d'Al Hamra,Tetouan Al Hamra,0.491,direct
01.571.05.05.,Al Oued,Tétouan,01.571.05.05.,Al Oued,15710505,15710505,Commune d'Al Oued,Tetouan Al Oued,0.474,direct
01.571.05.07.,Azla,Tétouan,01.571.05.07.,Azla,15710507,15710507,Commune d'Azla,Tetouan Azla,0.584,direct
01.571.05.13.,Bni Leit,Tétouan,01.571.05.13.,Bni Leit,15710513,15710513,Commune de Bni Leit,Tetouan Bni Leit,0.455,direct
01.571.05.15.,Bni Said,Tétouan,01.571.05.15.,Bni Said,15710515,15710515,Commune de Bni Said,Tetouan Bni Said,0.527,direct
01.571.05.17.,Dar Bni Karrich,Tétouan,01.571.05.17.,Dar Bni Karrich,15710517,15710517,Commune de Dar Bni Karrich,Tetouan Dar Bni Karrich,0.587,direct
01.571.05.19.,Oulad Ali Mansour,Tétouan,01.571.05.19.,Oulad Ali Mansour,15710519,15710519,Commune d'Oulad Ali Mansour,Tetouan Oulad Ali Mansour,0.403,direct
01.571.05.23.,Zaitoune,Tétouan,01.571.05.23.,Zaitoune,15710523,15710523,Commune de Zaitoune,Tetouan Zaitoune,0.531,direct
01.571.05.25.,Zaouiat Sidi Kacem,Tétouan,01.571.05.25.,Zaouiat Sidi Kacem,15710525,15710525,Commune de Zaouiat Sidi Kacem,Tetouan Zaouiat Sidi Kacem,0.469,direct
01.571.05.27.,Zinat,Tétouan,01.571.05.27.,Zinat,15710527,15710527,Commune de Zinat,Tetouan Zinat,0.453,direct
01.573.01.01.,Fnideq (Mun.),M'Diq-Fnideq,01.573.01.01.,Fnideq (M),15730101,15730101,Commune de Fnideq,,,
01.573.01.03.,Martil (Mun.),M'Diq-Fnideq,01.573.01.03.,Martil (M),15730103,15730103,Commune de Martil,Tetouan Martil (M),0.729,direct
01.573.01.05.,M'Diq (Mun.),M'Diq-Fnideq,01.573.01.05.,M'diq (M),15730105,15730105,Commune de M'diq,,,
01.573.03.03.,Allyene,M'Diq-Fnideq,01.573.03.03.,Allyene,15730107,15730107,Commune d'Allyene,Tetouan Allyene,0.569,direct
01.573.03.05.,Belyounech,M'Diq-Fnideq,01.573.03.05.,Belyounech,15730109,15730109,Commune de Belyounech,,,
02.113.01.01.,Ahfir (Mun.),Berkane,02.113.01.01.,Ahfir (M),21130101,21130101,Commune d'Ahfir,Berkane Ahfir (M),0.652,direct
02.113.01.05.,Ain Erreggada (Mun.),Berkane,02.113.01.05.,Ain Erreggada (M),21130105,21130105,Commune d'Ain Erreggada,Berkane Ain Erreggada (M),0.638,direct
02.113.01.07.,Aklim (Mun.),Berkane,02.113.01.07.,Aklim (M),21130107,21130107,Commune d'Aklim,Berkane Aklim (M),0.66,direct
02.113.01.09.,Berkane (Mun.),Berkane,02.113.01.09.,Berkane (M),21130109,21130109,Commune de Berkane,Berkane Berkane (M),0.674,direct
02.113.01.25.,Saidia (Mun.),Berkane,02.113.01.25.,Saidia (M),21130125,21130125,Commune de Saidia,Berkane Saidia (M),0.678,direct
02.113.01.29.,Sidi Slimane Echcharraa (Mun.),Berkane,02.113.01.29.,,21130129,21130129,Commune de Sidi Slimane Echcharaa,Berkane Sidi Slimane Echcharraa (M,0.636,fuzzy
02.113.03.01.,Aghbal,Berkane,02.113.03.01.,Aghbal,21130301,21130301,Commune d'Aghbal,Berkane Aghbal,0.609,direct
02.113.03.07.,Fezouane,Berkane,02.113.03.07.,Fezouane,21130307,21130307,Commune de Fezouane,Berkane Fezouane,0.576,direct
02.113.03.09.,Laatamna,Berkane,02.113.03.09.,Laatamna,21130309,21130309,Commune de Laatamna,Berkane Laatamna,0.606,direct
02.113.03.11.,Madagh,Berkane,02.113.03.11.,Madagh,21130311,21130311,Commune de Madagh,Berkane Madagh,0.564,direct
02.113.05.03.,Boughriba,Berkane,02.113.05.03.,Boughriba,21130503,21130503,Commune de Boughriba,Berkane Boughriba,0.57,direct
02.113.05.05.,Chouihia,Berkane,02.113.05.05.,Chouihia,21130505,21130505,Commune de Chouihia,Berkane Chouihia,0.567,direct
02.113.05.13.,Rislane,Berkane,02.113.05.13.,Rislane,21130513,21130513,Commune de Rislane,Berkane Rislane,0.582,direct
02.113.05.15.,Sidi Bouhria,Berkane,02.113.05.15.,Sidi Bouhria,21130515,21130515,Commune de Sidi Bouhria,Berkane Sidi Bouhria,0.587,direct
02.113.05.17.,Tafoughalt,Berkane,02.113.05.17.,Tafoughalt,21130517,21130517,Commune de Tafoughalt,Berkane Tafoughalt,0.49,direct
02.113.05.19.,Zegzel,Berkane,02.113.05.19.,Zegzel,21130519,21130519,Commune de Zegzel,Berkane Zegzel,0.569,direct
02.167.01.03.,Ben Taieb (Mun.),Driouch,02.167.01.03.,Ben Taieb (M),21670103,21670103,Commune de Ben Taieb,Nador Ben Taieb,0.564,direct
02.167.01.09.,Driouch (Mun.),Driouch,02.167.01.09.,Driouch (M),21670109,21670109,Commune de Driouch,Nador Driouch,0.52,direct
02.167.01.13.,Midar (Mun.),Driouch,02.167.01.13.,Midar (M),21670113,21670113,Commune de Midar,Nador Midar,0.576,direct
02.167.03.01.,Ain Zohra,Driouch,02.167.03.01.,Ain Zohra,21671701,21671701,Commune d'Ain Zohra,Nador Ain Zohra,0.506,direct
02.167.03.03.,Ait Mait,Driouch,02.167.03.03.,Ait Mait,21671503,21671503,Commune d'Ait Mait,Nador Ait Mait,0.454,direct
