app_code,app_name,code14,name14,weight,evidence
0646103012,CR-Ain Dorbane,06.461.03.02.,Ain Dorbane-Lahlaf,0.0700,"HCP Série provinciale Settat RGPH 2014 tab. 42: 2004 on 2014 boundaries: Ain Dorbane-Lahlaf 8,038 = Lahlaf 7,160 + 878 of Ain Dorbane; the other 4,538 are not placed"
0938503032,CR-Dar Bouazza,06.385.01.02.,Dar Bouazza (Mun.),0.5814,"HCP Grand Casablanca, note premiers résultats RGPH 2014 tab. 5: 2004 on 2014 boundaries: Dar Bouazza 67,066 of 115,349"
0938503032,CR-Dar Bouazza,06.385.03.03.,Oulad Azzouz,0.2263,"HCP Grand Casablanca, note premiers résultats RGPH 2014 tab. 5: 2004 on 2014 boundaries: Oulad Azzouz 26,103, separated from Dar Bouazza in 2008; the other 22,180 are not placed"
0938503052,CR-Oulad Salah,06.385.03.05.,Oulad Salah,0.7332,"HCP Grand Casablanca, note premiers résultats RGPH 2014 tab. 5: 2004 on 2014 boundaries: 11,583 of 15,797; where the rest went is not published"
0938503014,AC-Lamkansa,,,,"HCP Grand Casablanca, note premiers résultats RGPH 2014 tab. 5: 2004 on 2014 boundaries: Bouskoura 60,483 is its rural commune and centre (58,312) without Lamkansa, which is left unlinked (its GeoNames point falls in Casablanca)"
1044103032,CR-Sidi Bouknadel,04.441.01.08.,Sidi Bouknadel (Mun.),0.2192,"HCP Monographie Salé 2016 p.20: 2004 on 2014 boundaries: Sidi Bouknadel 16,829 = its centre 9,314 + 7,515 of the rural commune"
1044103032,CR-Sidi Bouknadel,04.441.03.05.,Ameur,0.7808,"HCP Monographie Salé 2016 p.20: 2004 on 2014 boundaries: Ameur 26,764, carved from Sidi Bouknadel in 2008 (16,829 + 26,764 = 43,593, the 2004 total)"
1622703212,CR-Taghramt,01.227.03.21.,Taghramt,0.5895,"HCP Monographie M'diq-Fnideq tab. 3: 2004 on 2014 boundaries: Belyounech 5,484 of Taghramt's 13,359"
1622703212,CR-Taghramt,01.573.03.05.,Belyounech,0.4105,"HCP Monographie M'diq-Fnideq tab. 3: 2004 on 2014 boundaries: Belyounech 5,484, newly created from Taghramt"
0528103032,CR-Ben Mansour,04.281.05.03.,Ben Mansour,0.7019,"HCP Rabat-Salé-Kénitra, séries communales 2004 (post-2009 communes): Ben Mansour 36,410 of 51,874"
0528103032,CR-Ben Mansour,04.281.05.11.,Sidi Mohamed Ben Mansour,0.2981,"HCP Rabat-Salé-Kénitra, séries communales 2004 (post-2009 communes): Sidi Mohamed Ben Mansour 15,464"
0528103012,CR-Ameur Seflia,04.281.03.01.,Ameur Seflia,0.5951,"HCP Rabat-Salé-Kénitra, séries communales 2004 (post-2009 communes): Ameur Seflia 24,435 of 41,058"
0528103012,CR-Ameur Seflia,04.491.03.17.,Ameur Chamalia,0.4049,"HCP Rabat-Salé-Kénitra, séries communales 2004 (post-2009 communes) (Sidi Slimane): Ameur Chamalia 16,623"
0825103052,CR-Bouanane,02.251.03.05.,Bouanane,0.8120,split by 2014 rural population: Ain Chair's centre stayed in rural Bouanane until 2011 (ainchair.wordpress.com); HCP gives no 2004 figure on 2014 boundaries
0825103052,CR-Bouanane,02.251.03.13.,Ain Chair,0.1880,"carved from Bouanane (HCP Figuig monograph: created between the two censuses); share of the rural 2014 population, 1,554 of 8,260"
