unit,name14,prov14,geonameid,qid,km,flag,chosen,decided_by
01.051.09.01.,Abdelghaya Souahel,Al Hoceima,6546454,Q4664804,4.36,False,geonames,agree
01.051.09.09.,Bni Bouchibet,Al Hoceima,6547075,Q4930994,1.21,False,geonames,agree
01.051.09.13.,Issaguen,Al Hoceima,11911123,Q2737756,4.16,False,geonames,agree
01.051.09.15.,Ketama,Al Hoceima,6546174,Q6395311,5.57,False,geonames,agree
01.051.09.17.,Moulay Ahmed Cherif,Al Hoceima,6547077,Q6918954,1.79,False,geonames,agree
01.051.09.23.,Taghzout,Al Hoceima,6547080,Q7675261,2.24,False,geonames,agree
01.051.09.25.,Tamsaout,Al Hoceima,6547081,Q7681848,0.48,False,geonames,agree
01.151.01.01.,Chefchaouen (Mun.),Chefchaouen,6545557,Q676778,0.33,False,geonames,agree
01.151.03.03.,Bab Berred,Chefchaouen,6546142,Q2877663,3.86,False,geonames,agree
01.151.03.13.,Iounane,Chefchaouen,6546952,Q6064171,1.21,False,geonames,agree
01.151.03.23.,Tamorot,Chefchaouen,6545794,Q7681643,5.01,False,geonames,agree
01.151.05.01.,Bab Taza,Chefchaouen,11911074,Q920156,0.83,False,geonames,agree
01.151.05.03.,Bni Darkoul,Chefchaouen,11911075,Q4930998,2.21,False,geonames,agree
01.151.05.05.,Bni Faghloum,Chefchaouen,6545562,Q4930999,1.57,False,geonames,agree
01.151.05.07.,Bni Salah,Chefchaouen,6545563,Q4931011,2.15,False,geonames,agree
01.151.05.09.,Derdara,Chefchaouen,11911082,Q5261728,5.51,False,geonames,agree
01.151.05.11.,Fifi,Chefchaouen,11911079,Q5447396,4.91,False,geonames,agree
01.151.05.13.,Laghdir,Chefchaouen,6546002,Q6472089,1.47,False,geonames,agree
01.151.05.15.,Tanaqoub,Chefchaouen,11911083,Q7682311,2.35,False,geonames,agree
01.151.06.05.,Bni Ahmed Cherqia,Chefchaouen,6546949,Q4930987,1.28,False,geonames,agree
01.151.06.07.,Bni Ahmed Gharbia,Chefchaouen,6546143,Q4930988,2.58,False,geonames,agree
01.151.06.21.,Oued Malha,Chefchaouen,6545997,Q7110282,2.43,False,geonames,agree
01.151.07.01.,Bni Bouzra,Chefchaouen,6547021,Q4930997,7.94,False,geonames,agree
01.151.07.03.,Bni Mansour,Chefchaouen,6547022,Q4931006,0.82,False,geonames,agree
01.151.07.05.,Bni Selmane,Chefchaouen,6547023,Q12199513,7.15,False,geonames,agree
01.151.07.07.,Steha,Chefchaouen,6547024,Q12183037,8.0,False,geonames,agree
01.151.07.09.,Talambote,Chefchaouen,6546444,Q12202006,9.29,False,geonames,agree
01.151.07.11.,Tassift,Chefchaouen,6546445,Q7687645,11.34,False,geonames,agree
01.151.07.13.,Tizgane,Chefchaouen,6546446,Q7810515,5.35,False,geonames,agree
01.151.09.01.,Amtar,Chefchaouen,6546141,Q4748877,7.03,False,geonames,agree
01.151.09.09.,Bni Rzine,Chefchaouen,11911271,Q4931010,8.03,False,geonames,agree
01.151.09.11.,Bni Smih,Chefchaouen,6546951,Q4931014,4.77,False,geonames,agree
01.151.09.17.,M'tioua,Chefchaouen,6545780,Q6711886,10.79,False,geonames,agree
01.151.09.19.,Ouaouzgane,Chefchaouen,6545996,Q17013173,4.98,False,geonames,agree
01.227.03.05.,Anjra,Fahs-Anjra,6546382,Q8200021,3.99,False,geonames,agree
01.227.03.11.,Jouamaa,Fahs-Anjra,6546021,Q6294505,4.3,False,geonames,agree
01.227.03.13.,Ksar El Majaz,Fahs-Anjra,6545417,Q6440699,4.55,False,geonames,agree
01.227.03.21.,Taghramt,Fahs-Anjra,6545734,Q6137989,4.03,False,geonames,agree
01.227.05.01.,Al Bahraoyine,Fahs-Anjra,6545718,Q5661733,2.95,False,geonames,agree
01.227.05.05.,Ksar Sghir,Fahs-Anjra,6545686,Q2383366,8.67,False,geonames,agree
01.227.05.09.,Malloussa,Fahs-Anjra,6545717,Q3305200,1.37,False,geonames,agree
01.331.01.01.,Ksar El Kebir (Mun.),Larache,6546541,Q52603,0.95,False,geonames,agree
01.331.01.03.,Larache (Mun.),Larache,6545687,Q606775,1.34,False,geonames,agree
01.331.07.01.,Bou Jedyane,Larache,6545704,Q2921647,4.48,False,geonames,agree
01.331.07.03.,Ksar Bjir,Larache,6546383,Q6440696,1.42,False,geonames,agree
01.331.07.05.,Laouamra,Larache,6546677,Q6488033,5.03,False,geonames,agree
01.331.07.11.,Souk L'Qolla,Larache,6547029,Q7564131,6.06,False,geonames,agree
01.331.07.15.,Tatoft,Larache,11911050,Q12202670,2.85,False,geonames,agree
01.331.07.17.,Zouada,Larache,6546019,Q12214765,3.4,False,geonames,agree
01.331.09.01.,Ayacha,Larache,11911058,Q16208538,5.56,False,geonames,agree
01.331.09.03.,Bni Arouss,Larache,6546336,Q4930992,2.37,False,geonames,agree
01.331.09.05.,Bni Garfett,Larache,6545564,Q4931000,0.74,False,geonames,agree
01.331.09.13.,Tazroute,Larache,6546003,Q12201972,4.9,False,geonames,agree
01.331.09.15.,Zaaroura,Larache,6546004,Q8063409,0.88,False,geonames,agree
01.331.11.03.,Oulad Ouchih,Larache,6545705,Q7110420,3.27,False,geonames,agree
01.331.11.07.,Rissana Chamalia,Larache,6547033,Q12214072,4.44,False,geonames,agree
01.331.11.09.,Rissana Janoubia,Larache,6545699,Q12214073,0.51,False,geonames,agree
01.331.11.12.,Souaken,Larache,6547028,Q12188602,2.1,False,geonames,agree
01.331.11.13.,Souk Tolba,Larache,6547030,Q6802800,1.45,False,geonames,agree
01.405.01.09.,Ouezzane (Mun.),Ouezzane,11878430,Q602426,17.03,False,geonames,agree
01.405.07.01.,Bni Quolla,Ouezzane,11911061,Q4931009,2.48,False,geonames,agree
01.405.07.03.,Lamjaara,Ouezzane,11911062,Q553125,3.21,False,geonames,agree
01.405.07.05.,Masmouda,Ouezzane,6546920,Q17009600,1.62,False,geonames,agree
01.405.07.07.,Mzefroune,Ouezzane,11911067,Q6949463,5.36,False,geonames,agree
01.405.07.09.,Ounnana,Ouezzane,6546922,Q7110527,4.81,False,geonames,agree
01.405.07.11.,Sidi Ahmed Cherif,Ouezzane,6546311,Q17019247,2.29,False,geonames,agree
01.405.07.13.,Sidi Bousber,Ouezzane,6545892,Q3915278,0.66,False,geonames,agree
01.405.07.15.,Sidi Redouane,Ouezzane,11911060,Q7508814,0.64,False,geonames,agree
01.405.07.17.,Teroual,Ouezzane,6546923,Q7702998,1.7,False,geonames,agree
01.405.07.19.,Zghira,Ouezzane,6546128,Q8070008,1.2,False,geonames,agree
01.405.09.01.,Ain Beida,Ouezzane,6547025,Q4697329,0.0,False,geonames,agree
01.405.09.03.,Asjen,Ouezzane,6547026,Q4807050,2.24,False,geonames,agree
01.405.09.05.,Brikcha,Ouezzane,11911068,Q2925553,4.89,False,geonames,agree
01.405.09.09.,Moqrisset,Ouezzane,6546046,Q2744413,2.77,False,geonames,agree
01.405.11.07.,Kalaat Bouqorra,Ouezzane,6546540,Q12233422,3.63,False,geonames,agree
01.405.11.11.,Zoumi,Ouezzane,6546008,Q8074648,0.8,False,geonames,agree
01.511.01.01.,Assilah (Mun.),Tanger-Assilah,11878900,Q730328,6.44,False,geonames,agree
01.511.01.09.,Gueznaia (Mun.),Tanger-Assilah,6545548,Q3119260,1.98,False,geonames,agree
01.511.03.01.,Al Manzla,Tanger-Assilah,6545700,Q12205807,4.79,False,geonames,agree
01.511.03.03.,Aquouass Briech,Tanger-Assilah,6546250,Q12180072,3.86,False,geonames,agree
01.511.03.07.,Dar Chaoui,Tanger-Assilah,11911093,Q12211244,7.82,False,geonames,agree
01.511.03.11.,Sahel Chamali,Tanger-Assilah,6546038,Q12188222,1.31,False,geonames,agree
01.511.03.13.,Sidi Lyamani,Tanger-Assilah,6546448,Q3483251,1.03,False,geonames,agree
01.511.03.17.,Laaouama,Tanger-Assilah,11911094,Q5968571,8.18,False,geonames,agree
01.511.81.05.,HJAR ENNHAL,Tanger-Assilah,11911095,Q25454397,3.3,False,geonames,agree
01.571.01.07.,Oued Laou (Mun.),Tétouan,11878905,Q3099183,2.76,False,geonames,agree
01.571.01.11.,Tétouan (Mun.),Tétouan,6546449,Q185157,2.9,False,geonames,agree
01.571.03.01.,Ain Lahsan,Tétouan,11911087,Q12229154,3.6,False,geonames,agree
01.571.03.05.,Bghaghza,Tétouan,6546450,Q6532523,4.78,False,geonames,agree
01.571.03.07.,Bni Harchen,Tétouan,6547036,Q12199460,3.76,False,geonames,agree
01.571.03.09.,Jbel Lahbib,Tétouan,11911088,Q12204913,8.77,False,geonames,agree
01.571.03.11.,Bni Idder,Tétouan,6545778,Q12199688,3.11,False,geonames,agree
01.571.03.15.,Mallalienne,Tétouan,6547038,Q12244892,3.52,False,geonames,agree
01.571.03.17.,Saddina,Tétouan,6545414,Q12219919,1.4,False,geonames,agree
01.571.03.19.,Souk Kdim,Tétouan,6547039,Q12217374,2.44,False,geonames,agree
01.571.03.21.,Sahtryine,Tétouan,6545779,Q12188309,7.81,False,geonames,agree
01.571.05.01.,Al Hamra,Tétouan,6546192,Q12186725,1.49,False,geonames,agree
01.571.05.05.,Al Oued,Tétouan,6546193,Q12194780,8.13,False,geonames,agree
01.571.05.07.,Azla,Tétouan,6547040,Q27538687,4.69,False,geonames,agree
01.571.05.13.,Bni Leit,Tétouan,6546030,Q12199612,3.82,False,geonames,agree
01.571.05.15.,Bni Said,Tétouan,11911084,Q12199508,9.02,False,geonames,agree
01.571.05.19.,Oulad Ali Mansour,Tétouan,6546005,Q12181230,1.2,False,geonames,agree
01.571.05.23.,Zaitoune,Tétouan,6546006,Q12214854,1.94,False,geonames,agree
01.571.05.25.,Zaouiat Sidi Kacem,Tétouan,6545828,Q12214257,6.63,False,geonames,agree
01.571.05.27.,Zinat,Tétouan,6545993,Q204287,4.93,False,geonames,agree
01.573.01.01.,Fnideq (Mun.),M'Diq-Fnideq,11878438,Q513678,1.7,False,geonames,agree
01.573.01.03.,Martil (Mun.),M'Diq-Fnideq,6546337,Q2626632,3.87,False,geonames,agree
01.573.01.05.,M'Diq (Mun.),M'Diq-Fnideq,6545494,Q2501764,0.31,False,geonames,agree
01.573.03.03.,Allyene,M'Diq-Fnideq,6546679,Q5669510,5.14,False,geonames,agree
01.573.03.05.,Belyounech,M'Diq-Fnideq,11911108,Q22672360,3.33,False,geonames,agree
02.113.01.01.,Ahfir (Mun.),Berkane,11879000,Q2544620,12.51,False,geonames,agree
02.113.01.05.,Ain Erreggada (Mun.),Berkane,6545533,Q2876313,0.35,False,geonames,agree
02.113.01.07.,Aklim (Mun.),Berkane,11879001,Q2484384,13.77,False,geonames,agree
02.113.01.09.,Berkane (Mun.),Berkane,6545678,Q820813,1.44,False,geonames,agree
02.113.01.25.,Saidia (Mun.),Berkane,6545976,Q4759,0.25,False,geonames,agree
02.113.01.29.,Sidi Slimane Echcharraa (Mun.),Berkane,11878991,Q3483293,0.34,False,geonames,agree
02.113.03.01.,Aghbal,Berkane,11911230,Q23011118,5.28,False,geonames,agree
02.113.03.07.,Fezouane,Berkane,6545610,Q20408470,4.8,False,geonames,agree
02.113.03.09.,Laatamna,Berkane,11911231,Q3220085,0.72,False,geonames,agree
02.113.03.11.,Madagh,Berkane,11911232,Q6726176,1.12,False,geonames,agree
02.113.05.03.,Boughriba,Berkane,6545679,Q27534251,3.91,False,geonames,agree
02.113.05.05.,Chouihia,Berkane,11911227,Q27536893,3.87,False,geonames,agree
02.113.05.13.,Rislane,Berkane,6545979,Q3433149,7.74,False,geonames,agree
02.113.05.15.,Sidi Bouhria,Berkane,6545980,Q27535307,6.04,False,geonames,agree
02.113.05.17.,Tafoughalt,Berkane,6545981,Q3513793,4.73,False,geonames,agree
02.113.05.19.,Zegzel,Berkane,6545875,Q2541521,8.09,False,geonames,agree
02.167.01.03.,Ben Taieb (Mun.),Driouch,6545611,Q2801411,3.56,False,geonames,agree
02.167.01.09.,Driouch (Mun.),Driouch,11911234,Q1259122,8.97,False,geonames,agree
02.167.01.13.,Midar (Mun.),Driouch,6547059,Q2152433,1.47,False,geonames,agree
02.167.03.01.,Ain Zohra,Driouch,11911247,Q16826304,10.97,False,geonames,agree
02.167.03.03.,Ait Mait,Driouch,6546348,Q16826392,3.2,False,geonames,agree
02.167.03.05.,Amejjaou,Driouch,6546349,Q2842628,4.27,False,geonames,agree
02.167.03.07.,Dar El Kebdani,Driouch,6546163,Q2678389,2.26,False,geonames,agree
02.167.03.11.,Oulad Boubker,Driouch,6546073,Q17013217,8.67,False,geonames,agree
02.167.03.13.,Tazaghine,Driouch,6546371,Q15077954,3.31,False,geonames,agree
02.167.09.01.,Azlaf,Driouch,6546530,Q2875186,1.12,False,geonames,agree
02.167.09.05.,Bni Marghnine,Driouch,6547058,Q16843623,1.8,False,geonames,agree
02.167.09.07.,Boudinar,Driouch,6546076,Q2921480,5.22,False,geonames,agree
02.167.09.09.,Iferni,Driouch,6546077,Q17005193,1.92,False,geonames,agree
02.167.09.11.,Ijermaouas,Driouch,11911246,Q17005275,5.81,False,geonames,agree
02.167.09.15.,M'Hajer,Driouch,6547060,Q17009094,2.92,False,geonames,agree
02.167.09.17.,Ouardana,Driouch,6547061,Q12205834,1.72,False,geonames,agree
02.167.09.19.,Oulad Amghar,Driouch,6545412,Q12205793,4.28,False,geonames,agree
02.167.09.21.,Tafersit,Driouch,6546351,Q2094680,2.92,False,geonames,agree
02.167.09.23.,Talilit,Driouch,6545982,Q17023246,2.53,False,geonames,agree
02.167.09.25.,Temsamane,Driouch,6545746,Q2006438,1.58,False,geonames,agree
02.167.09.29.,Tsaft,Driouch,6545894,Q17053064,8.08,False,geonames,agree
02.251.01.01.,Bouarfa (Mun.),Figuig,6545473,Q2293231,2.32,False,geonames,agree
02.251.01.03.,Figuig (Mun.),Figuig,6546275,Q425646,4.24,False,geonames,agree
02.251.03.01.,Ain Chouater,Figuig,6546781,Q20395177,9.52,False,geonames,agree
02.251.03.03.,Bni Tadjite,Figuig,11911201,Q2907473,10.1,False,geonames,agree
02.251.03.07.,Bouchaouene,Figuig,6545429,Q20416246,5.74,False,geonames,agree
02.251.03.11.,Talsint,Figuig,11911200,Q683959,6.83,False,geonames,agree
02.251.03.13.,Ain Chair,Figuig,11911196,Q19543775,2.12,False,geonames,agree
02.251.05.01.,Abbou Lakhal,Figuig,6546400,Q20382270,5.04,False,geonames,agree
02.251.05.03.,Bni Guil,Figuig,6545613,Q20414002,0.94,False,geonames,agree
02.251.05.07.,Tendrara,Figuig,11911199,Q3518036,23.62,False,geonames,agree
02.265.01.03.,Guercif (Mun.),Guercif,6547086,Q2330467,0.89,False,geonames,agree
02.265.05.01.,Assebbab,Guercif,11911249,Q16834686,5.32,False,geonames,agree
02.265.05.03.,Barkine,Guercif,6545690,Q16838097,22.98,False,geonames,agree
02.265.05.05.,Houara Oulad Raho,Guercif,6545571,Q17004898,8.68,False,geonames,agree
02.265.05.07.,Lamrija,Guercif,6546155,Q17007740,5.72,False,geonames,agree
02.265.05.15.,Saka,Guercif,11911255,Q16864736,15.21,False,geonames,agree
02.265.07.09.,Mazguitam,Guercif,11911254,Q3303130,3.39,False,geonames,agree
02.265.07.11.,Oulad Bourima,Guercif,6547090,Q16860493,7.3,False,geonames,agree
02.265.07.13.,Ras Laksar,Guercif,11911251,Q16862005,5.45,False,geonames,agree
02.265.07.17.,Taddart,Guercif,11911252,Q3513696,4.72,False,geonames,agree
02.275.01.03.,Ain Bni Mathar (Mun.),Jerada,6545517,Q2293260,11.92,False,geonames,agree
02.275.01.17.,Jerada (Mun.),Jerada,6545872,Q2287316,2.83,False,geonames,agree
02.275.01.35.,Touissit (Mun.),Jerada,6545873,Q3532864,1.19,False,geonames,agree
02.275.03.03.,Gafait,Jerada,6546312,Q3118857,9.78,False,geonames,agree
02.275.03.05.,Guenfouda,Jerada,6545674,Q3118884,5.96,False,geonames,agree
02.275.03.07.,Laaouinate,Jerada,11911209,Q27534254,1.34,False,geonames,agree
02.275.03.09.,Lebkhata,Jerada,6545676,Q27727985,5.26,False,geonames,agree
02.275.03.13.,Ras Asfour,Jerada,6545918,Q27535380,1.58,False,geonames,agree
02.275.03.15.,Sidi Boubker,Jerada,6546936,Q3483203,2.38,False,geonames,agree
02.275.03.21.,Tiouli,Jerada,6546313,Q27728075,13.01,False,geonames,agree
02.275.05.01.,Bni Mathar,Jerada,11911205,Q20414402,2.81,False,geonames,agree
02.275.05.11.,Mrija,Jerada,6545975,Q20424498,7.79,False,geonames,agree
02.275.05.13.,Oulad Ghziyel,Jerada,6546937,Q27728016,12.46,False,geonames,agree
02.381.01.01.,Al Aaroui (Mun.),Nador,6547049,Q613913,1.57,False,geonames,agree
02.381.01.03.,Bni Ansar (Mun.),Nador,6546346,Q537462,2.94,False,geonames,agree
02.381.01.05.,Nador (Mun.),Nador,6547050,Q824594,0.75,False,geonames,agree
02.381.01.07.,Zaio (Mun.),Nador,6546347,Q144416,1.03,False,geonames,agree
02.381.01.09.,Zeghanghane (Mun.),Nador,6547051,Q184459,0.79,False,geonames,agree
02.381.01.15.,Ras El Ma (Mun.),Nador,6546350,Q1004716,8.74,False,geonames,agree
02.381.01.19.,Selouane (Mun.),Nador,6547055,Q280853,4.01,False,geonames,agree
02.381.05.01.,Bni Bouifrour,Nador,11911262,Q16952423,4.77,False,geonames,agree
02.381.05.05.,Bni Sidel Jbel,Nador,6547053,Q16843647,0.01,False,geonames,agree
02.381.05.07.,Bni Sidel Louta,Nador,6547052,Q16843652,6.61,False,geonames,agree
02.381.05.09.,Bouarg,Nador,11911261,Q894944,4.25,False,geonames,agree
02.381.05.13.,Iaazzanene,Nador,11911264,Q17005076,2.76,False,geonames,agree
02.381.05.15.,Ihaddadene,Nador,6545745,Q605549,4.44,False,geonames,agree
02.381.05.17.,Iksane,Nador,6547054,Q17005295,4.9,False,geonames,agree
02.381.07.01.,Afsou,Nador,6547056,Q16825930,3.29,False,geonames,agree
02.381.07.03.,Al Barkanyene,Nador,6547057,Q16826584,1.94,False,geonames,agree
02.381.07.05.,Arekmane,Nador,6546059,Q16833598,9.46,False,geonames,agree
02.381.07.09.,Hassi Berkane,Nador,11911257,Q2435042,12.25,False,geonames,agree
02.381.07.11.,Oulad Daoud Zkhanine,Nador,6546060,Q17013233,9.06,False,geonames,agree
02.381.07.13.,Oulad Settout,Nador,11911258,Q17013247,1.45,False,geonames,agree
02.381.07.17.,Tiztoutine,Nador,6545858,Q3530003,1.95,False,geonames,agree
02.411.01.11.,Bni Drar (Mun.),Oujda-Angad,6545895,Q2907474,3.01,False,geonames,agree
02.411.01.19.,Naima (Mun.),Oujda-Angad,6545777,Q3335196,0.77,False,geonames,agree
02.411.01.23.,Oujda (Mun.),Oujda-Angad,6545974,Q193802,0.43,False,geonames,agree
02.411.03.01.,Ahl Angad,Oujda-Angad,6545640,Q18384650,6.63,False,geonames,agree
02.411.03.03.,Ain Sfa,Oujda-Angad,11911216,Q20395652,1.75,False,geonames,agree
02.411.03.05.,Bni Khaled,Oujda-Angad,6545643,Q2907466,0.55,False,geonames,agree
02.411.03.07.,Bsara,Oujda-Angad,6545627,Q20417892,1.27,False,geonames,agree
02.411.05.09.,Isly,Oujda-Angad,6545628,Q23011092,2.39,False,geonames,agree
02.411.05.11.,Mestferki,Oujda-Angad,6546353,Q12242656,1.2,False,geonames,agree
02.411.05.17.,Sidi Boulenouar,Oujda-Angad,6545874,Q20389716,4.02,False,geonames,agree
02.411.05.19.,Sidi Moussa Lemhaya,Oujda-Angad,6546314,Q12217731,3.75,False,geonames,agree
02.533.01.13.,Debdou (Mun.),Taourirt,6545857,Q654695,0.84,False,geonames,agree
02.533.01.15.,El Aioun Sidi Mellouk (Mun.),Taourirt,11878987,Q3049730,0.4,False,geonames,agree
02.533.01.33.,Taourirt (Mun.),Taourirt,6545983,Q2329701,1.2,False,geonames,agree
02.533.03.05.,El Atef,Taourirt,6545480,Q5350784,0.0,False,geonames,agree
02.533.03.19.,Sidi Lahsen,Taourirt,11911220,Q3483246,7.41,False,geonames,agree
02.533.07.03.,Ain Lehjer,Taourirt,6545448,Q4697349,16.04,False,geonames,agree
02.533.07.09.,Mechraa Hammadi,Taourirt,6545449,Q6804744,13.16,False,geonames,agree
02.533.07.13.,Mestegmer,Taourirt,6546354,Q6822065,10.2,False,geonames,agree
02.533.07.21.,Tancherfi,Taourirt,6545859,Q7682365,6.1,False,geonames,agree
02.533.09.01.,Ahl Oued Za,Taourirt,6545534,Q4695159,6.31,False,geonames,agree
02.533.09.07.,Gteter,Taourirt,6545680,Q5613096,3.37,False,geonames,agree
02.533.09.11.,Melg El Ouidane,Taourirt,11911224,Q6812236,6.79,False,geonames,agree
03.061.01.01.,Meknès (Mun.),Meknès,6546578,Q178663,1.55,False,geonames,agree
03.061.01.03.,Al Machouar - Stinia (Mun.),Meknès,11878978,Q16208113,0.53,False,geonames,agree
03.061.01.05.,Boufakrane (Mun.),Meknès,6545537,Q2921521,0.18,False,geonames,agree
03.061.01.07.,Toulal (Mun.),Meknès,6546237,Q3532881,0.0,False,geonames,agree
03.061.01.09.,Moulay Driss Zerhoun (Mun.),Meknès,6546094,Q593222,0.0,False,geonames,agree
03.061.01.11.,Ouislane (Mun.),Meknès,6545812,Q3358142,0.0,False,geonames,agree
03.061.03.01.,Ain Jemaa,Meknès,11911387,Q4697344,8.35,False,geonames,agree
03.061.03.05.,Ain Orma,Meknès,11911386,Q4697354,6.19,False,geonames,agree
03.061.03.09.,Dar Oum Soltane,Meknès,6546966,Q5221917,3.66,False,geonames,agree
03.061.05.01.,Dkhissa,Meknès,11911384,Q5285423,3.32,False,geonames,agree
03.061.05.03.,Majjate,Meknès,11911383,Q6737908,2.69,False,geonames,agree
03.061.05.07.,Oued Jdida,Meknès,6546969,Q7110279,2.07,False,geonames,agree
03.061.07.01.,Charqaoua,Meknès,6545539,Q5086646,1.81,False,geonames,agree
03.061.07.05.,MRhassiyine,Meknès,6546970,Q6929556,1.68,False,geonames,agree
03.061.07.07.,N'zalat Bni Amar,Meknès,6546971,Q3334115,0.01,False,geonames,agree
03.061.07.09.,Oualili,Meknès,11911388,Q7110169,6.62,False,geonames,agree
03.061.07.11.,Sidi Abdallah Al Khayat,Meknès,6546973,Q7508605,1.85,False,geonames,agree
03.131.01.01.,Boulemane (Mun.),Boulemane,11911274,Q2745175,32.45,True,wikidata,review
03.131.01.02.,Imouzzer Marmoucha (Mun.),Boulemane,6545558,Q2557021,1.17,False,geonames,agree
03.131.01.03.,Missour (Mun.),Boulemane,6546860,Q2540367,1.28,False,geonames,agree
03.131.01.05.,Outat El Haj (Mun.),Boulemane,6546861,Q3358599,0.93,False,geonames,agree
03.131.03.01.,Ait Bazza,Boulemane,6545500,Q4699233,7.91,False,geonames,agree
03.131.03.03.,Ait El Mane,Boulemane,6546974,Q4699237,7.5,False,geonames,agree
03.131.03.05.,Almis Marmoucha,Boulemane,6546975,Q4733854,9.24,False,geonames,agree
03.131.03.07.,El Mers,Boulemane,6545542,Q5351584,4.53,False,geonames,agree
03.131.03.09.,Enjil,Boulemane,6545485,Q5378987,5.25,False,geonames,agree
03.131.03.11.,Guigou,Boulemane,6546188,Q3119508,0.0,False,geonames,agree
03.131.03.13.,Serghina,Boulemane,11911279,Q7454150,9.18,False,geonames,agree
03.131.03.15.,Skoura M'Daz,Boulemane,6546032,Q7536484,1.63,False,geonames,agree
03.131.03.17.,Talzemt,Boulemane,6546033,Q3514599,4.25,False,geonames,agree
03.131.05.01.,Ksabi Moulouya,Boulemane,6546862,Q6440690,12.04,False,geonames,agree
03.131.05.03.,Ouizeght,Boulemane,6546189,Q11285966,6.99,False,geonames,agree
03.131.05.05.,Sidi Boutayeb,Boulemane,6546863,Q7508695,0.05,False,geonames,agree
03.131.07.01.,El Orjane,Boulemane,6546984,Q5351723,7.71,False,geonames,agree
03.131.07.03.,Ermila,Boulemane,6545708,Q5392456,2.33,False,geonames,agree
03.131.07.05.,Fritissa,Boulemane,6545712,Q5504804,6.83,False,geonames,agree
03.131.07.07.,Oulad Ali Youssef,Boulemane,6546441,Q7110393,39.44,True,geonames,review
03.171.01.01.,Agourai (Mun.),El  Hajeb,6546953,Q2827113,1.0,False,geonames,agree
03.171.01.03.,Ain Taoujdate (Mun.),El  Hajeb,11878983,Q2828136,10.31,False,geonames,agree
03.171.01.05.,El Hajeb (Mun.),El  Hajeb,11878982,Q2606723,5.88,False,geonames,agree
03.171.01.07.,Sabaa Aiyoun (Mun.),El  Hajeb,6546956,Q3460453,0.93,False,geonames,agree
03.171.03.01.,Ait Ouikhalfen,El  Hajeb,6546435,Q4699261,12.36,False,geonames,agree
03.171.03.03.,Ait Yaazem,El  Hajeb,6546323,Q4699274,1.33,False,geonames,agree
03.171.03.05.,Jahjouh,El  Hajeb,6545711,Q6123262,0.57,False,geonames,agree
03.171.03.07.,Ras Ijerri,El  Hajeb,6545693,Q12212719,1.38,False,geonames,agree
03.171.03.09.,Tamchachate,El  Hajeb,6545483,Q12202031,1.96,False,geonames,agree
